Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,,,2018-02-01 10:52:39,2018-02-01 10:53:53,1m - 14.001s,PASSED
,,,,,,
Test Cases/iOSwithKobiton,,,2018-02-01 10:52:39,2018-02-01 10:53:53,1m - 13.610s,PASSED
startApplication,,,2018-02-01 10:52:40,2018-02-01 10:53:06,26.083s,PASSED
tap,,,2018-02-01 10:53:06,2018-02-01 10:53:13,7.776s,PASSED
tap,,,2018-02-01 10:53:13,2018-02-01 10:53:24,10.686s,PASSED
tap,,,2018-02-01 10:53:24,2018-02-01 10:53:33,8.527s,PASSED
setText,,,2018-02-01 10:53:33,2018-02-01 10:53:42,9.732s,PASSED
tap,,,2018-02-01 10:53:42,2018-02-01 10:53:51,8.877s,PASSED
closeApplication,,,2018-02-01 10:53:51,2018-02-01 10:53:53,1.569s,PASSED
