Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,,,2018-02-01 09:59:19,2018-02-01 10:00:25,1m - 6.123s,PASSED
,,,,,,
Test Cases/Detail Checklist iOS,,,2018-02-01 09:59:19,2018-02-01 10:00:25,1m - 5.929s,PASSED
startApplication,,,2018-02-01 09:59:19,2018-02-01 09:59:43,23.898s,PASSED
tap,,,2018-02-01 09:59:43,2018-02-01 09:59:51,7.314s,PASSED
tap,,,2018-02-01 09:59:51,2018-02-01 09:59:58,7.119s,PASSED
tap,,,2018-02-01 09:59:58,2018-02-01 10:00:06,8.395s,PASSED
setText,,,2018-02-01 10:00:06,2018-02-01 10:00:15,8.800s,PASSED
tap,,,2018-02-01 10:00:15,2018-02-01 10:00:23,8.575s,PASSED
closeApplication,,,2018-02-01 10:00:23,2018-02-01 10:00:25,1.608s,PASSED
