Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,,,2018-02-01 10:55:30,2018-02-01 10:56:43,1m - 13.388s,PASSED
,,,,,,
Test Cases/iOSwithKobiton,,,2018-02-01 10:55:30,2018-02-01 10:56:43,1m - 13.180s,PASSED
startApplication,,,2018-02-01 10:55:30,2018-02-01 10:55:54,23.610s,PASSED
tap,,,2018-02-01 10:55:54,2018-02-01 10:56:01,7.707s,PASSED
tap,,,2018-02-01 10:56:01,2018-02-01 10:56:09,7.515s,PASSED
tap,,,2018-02-01 10:56:09,2018-02-01 10:56:18,8.739s,PASSED
setText,,,2018-02-01 10:56:18,2018-02-01 10:56:27,9.186s,PASSED
tap,,,2018-02-01 10:56:27,2018-02-01 10:56:41,14.662s,PASSED
closeApplication,,,2018-02-01 10:56:41,2018-02-01 10:56:43,1.533s,PASSED
